,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
41228,50,technician,married,secondary,no,3370,no,no,cellular,21,aug,531,2,80,2,success,yes
42873,62,retired,married,secondary,no,569,no,no,cellular,4,feb,94,5,184,1,success,yes
44211,19,student,single,secondary,no,302,no,no,cellular,16,jul,205,1,-1,0,unknown,yes
26216,40,services,single,secondary,no,1547,yes,no,cellular,20,nov,405,1,-1,0,unknown,yes
44690,29,unemployed,single,secondary,no,1584,no,no,cellular,6,sep,245,1,-1,0,unknown,yes
43807,23,student,single,tertiary,no,691,no,no,cellular,27,may,1178,1,178,6,success,yes
15980,38,technician,married,secondary,no,0,yes,no,cellular,22,jul,1545,1,-1,0,unknown,yes
18072,44,housemaid,married,primary,no,-156,no,yes,cellular,30,jul,1211,2,-1,0,unknown,yes
40129,58,retired,married,primary,no,1980,no,no,cellular,5,jun,255,1,-1,0,unknown,yes
45017,27,technician,single,secondary,no,643,no,no,telephone,14,oct,301,1,93,1,success,yes
6206,28,management,single,tertiary,no,0,yes,no,unknown,27,may,290,1,-1,0,unknown,no
28184,26,technician,single,secondary,no,455,no,no,cellular,29,jan,240,1,182,8,other,no
12488,53,technician,divorced,secondary,no,173,no,yes,unknown,1,jul,157,1,-1,0,unknown,no
19658,51,retired,married,secondary,no,0,no,no,cellular,7,aug,131,4,-1,0,unknown,no
26853,36,blue-collar,divorced,primary,no,3202,yes,no,cellular,20,nov,690,3,183,2,failure,no
29362,50,technician,divorced,secondary,no,8,no,no,cellular,2,feb,171,2,5,1,other,no
17740,40,management,married,secondary,no,6,yes,no,cellular,29,jul,64,4,-1,0,unknown,no
4046,58,retired,married,primary,no,331,yes,no,unknown,19,may,145,4,-1,0,unknown,no
8616,30,blue-collar,married,secondary,yes,-18,no,no,unknown,3,jun,157,2,-1,0,unknown,no
35253,36,management,single,tertiary,no,-679,yes,yes,cellular,7,may,172,1,93,1,failure,no
